
==================================================================
TEST QUERY: SELECT * FROM huge_users JOIN huge_transactions ON huge_users.id = huge_transactions.user_id
------------------------------------------------------------------
Optimizer is processing heuristics and DP...

OPTIMAL PHYSICAL PLAN (Tree):

JOIN SEQUENCE (Order of Operations):
  Join 1: [huge_transactions] X [huge_users] ON huge_transactions.user_id = huge_users.id (MergeJoin)

Estimated Cost: 3000
Resulting Tuple Size: 500000
Best Algorithm Selected: Merge

--- EXECUTION ENGINE RESULTS ---
huge_transactions.amount	huge_transactions.tx_id	huge_transactions.user_id	huge_users.id	huge_users.region	
224	214	215	215	Region15	
225	215	216	216	Region16	
226	216	217	217	Region17	
227	217	218	218	Region18	
228	218	219	219	Region19	
229	219	220	220	Region20	
230	220	221	221	Region21	
231	221	222	222	Region22	
232	222	223	223	Region23	
233	223	224	224	Region24	
234	224	225	225	Region25	
235	225	226	226	Region26	
236	226	227	227	Region27	
237	227	228	228	Region28	
238	228	229	229	Region29	
239	229	230	230	Region30	
240	230	231	231	Region31	
241	231	232	232	Region32	
242	232	233	233	Region33	
243	233	234	234	Region34	
244	234	235	235	Region35	
245	235	236	236	Region36	
246	236	237	237	Region37	
247	237	238	238	Region38	
248	238	239	239	Region39	
249	239	240	240	Region40	
250	240	241	241	Region41	
251	241	242	242	Region42	
252	242	243	243	Region43	
253	243	244	244	Region44	
254	244	245	245	Region45	
255	245	246	246	Region46	
256	246	247	247	Region47	
257	247	248	248	Region48	
258	248	249	249	Region49	
259	249	250	250	Region0	
260	250	251	251	Region1	
261	251	252	252	Region2	
262	252	253	253	Region3	
263	253	254	254	Region4	
264	254	255	255	Region5	
265	255	256	256	Region6	
266	256	257	257	Region7	
267	257	258	258	Region8	
268	258	259	259	Region9	
269	259	260	260	Region10	
270	260	261	261	Region11	
271	261	262	262	Region12	
272	262	263	263	Region13	
273	263	264	264	Region14	
274	264	265	265	Region15	
275	265	266	266	Region16	
276	266	267	267	Region17	
277	267	268	268	Region18	
278	268	269	269	Region19	
279	269	270	270	Region20	
280	270	271	271	Region21	
281	271	272	272	Region22	
282	272	273	273	Region23	
283	273	274	274	Region24	
284	274	275	275	Region25	
285	275	276	276	Region26	
286	276	277	277	Region27	
287	277	278	278	Region28	
288	278	279	279	Region29	
289	279	280	280	Region30	
290	280	281	281	Region31	
291	281	282	282	Region32	
292	282	283	283	Region33	
293	283	284	284	Region34	
294	284	285	285	Region35	
295	285	286	286	Region36	
296	286	287	287	Region37	
297	287	288	288	Region38	
298	288	289	289	Region39	
299	289	290	290	Region40	
300	290	291	291	Region41	
301	291	292	292	Region42	
302	292	293	293	Region43	
303	293	294	294	Region44	
304	294	295	295	Region45	
305	295	296	296	Region46	
306	296	297	297	Region47	
307	297	298	298	Region48	
308	298	299	299	Region49	
309	299	300	300	Region0	
310	300	301	301	Region1	
311	301	302	302	Region2	
312	302	303	303	Region3	
313	303	304	304	Region4	
314	304	305	305	Region5	
315	305	306	306	Region6	
316	306	307	307	Region7	
317	307	308	308	Region8	
318	308	309	309	Region9	
319	309	310	310	Region10	
320	310	311	311	Region11	
321	311	312	312	Region12	
322	312	313	313	Region13	
323	313	314	314	Region14	
324	314	315	315	Region15	
325	315	316	316	Region16	
326	316	317	317	Region17	
327	317	318	318	Region18	
328	318	319	319	Region19	
329	319	320	320	Region20	
330	320	321	321	Region21	
331	321	322	322	Region22	
332	322	323	323	Region23	
333	323	324	324	Region24	
334	324	325	325	Region25	
335	325	326	326	Region26	
336	326	327	327	Region27	
337	327	328	328	Region28	
338	328	329	329	Region29	
339	329	330	330	Region30	
340	330	331	331	Region31	
341	331	332	332	Region32	
342	332	333	333	Region33	
343	333	334	334	Region34	
344	334	335	335	Region35	
345	335	336	336	Region36	
346	336	337	337	Region37	
347	337	338	338	Region38	
348	338	339	339	Region39	
349	339	340	340	Region40	
350	340	341	341	Region41	
351	341	342	342	Region42	
352	342	343	343	Region43	
353	343	344	344	Region44	
354	344	345	345	Region45	
355	345	346	346	Region46	
356	346	347	347	Region47	
357	347	348	348	Region48	
358	348	349	349	Region49	
359	349	350	350	Region0	
360	350	351	351	Region1	
361	351	352	352	Region2	
362	352	353	353	Region3	
363	353	354	354	Region4	
364	354	355	355	Region5	
365	355	356	356	Region6	
366	356	357	357	Region7	
367	357	358	358	Region8	
368	358	359	359	Region9	
369	359	360	360	Region10	
370	360	361	361	Region11	
371	361	362	362	Region12	
372	362	363	363	Region13	
373	363	364	364	Region14	
374	364	365	365	Region15	
375	365	366	366	Region16	
376	366	367	367	Region17	
377	367	368	368	Region18	
378	368	369	369	Region19	
379	369	370	370	Region20	
380	370	371	371	Region21	
381	371	372	372	Region22	
382	372	373	373	Region23	
383	373	374	374	Region24	
384	374	375	375	Region25	
385	375	376	376	Region26	
386	376	377	377	Region27	
387	377	378	378	Region28	
388	378	379	379	Region29	
389	379	380	380	Region30	
390	380	381	381	Region31	
391	381	382	382	Region32	
392	382	383	383	Region33	
393	383	384	384	Region34	
394	384	385	385	Region35	
395	385	386	386	Region36	
396	386	387	387	Region37	
397	387	388	388	Region38	
398	388	389	389	Region39	
399	389	390	390	Region40	
400	390	391	391	Region41	
401	391	392	392	Region42	
402	392	393	393	Region43	
403	393	394	394	Region44	
404	394	395	395	Region45	
405	395	396	396	Region46	
406	396	397	397	Region47	
407	397	398	398	Region48	
408	398	399	399	Region49	
409	399	400	400	Region0	
410	400	401	401	Region1	
411	401	402	402	Region2	
412	402	403	403	Region3	
413	403	404	404	Region4	
414	404	405	405	Region5	
415	405	406	406	Region6	
416	406	407	407	Region7	
417	407	408	408	Region8	
418	408	409	409	Region9	
419	409	410	410	Region10	
420	410	411	411	Region11	
421	411	412	412	Region12	
422	412	413	413	Region13	
423	413	414	414	Region14	
424	414	415	415	Region15	
425	415	416	416	Region16	
426	416	417	417	Region17	
427	417	418	418	Region18	
428	418	419	419	Region19	
429	419	420	420	Region20	
430	420	421	421	Region21	
431	421	422	422	Region22	
432	422	423	423	Region23	
433	423	424	424	Region24	
434	424	425	425	Region25	
435	425	426	426	Region26	
436	426	427	427	Region27	
437	427	428	428	Region28	
438	428	429	429	Region29	
439	429	430	430	Region30	
440	430	431	431	Region31	
441	431	432	432	Region32	
442	432	433	433	Region33	
443	433	434	434	Region34	
444	434	435	435	Region35	
445	435	436	436	Region36	
446	436	437	437	Region37	
447	437	438	438	Region38	
448	438	439	439	Region39	
449	439	440	440	Region40	
450	440	441	441	Region41	
451	441	442	442	Region42	
452	442	443	443	Region43	
453	443	444	444	Region44	
454	444	445	445	Region45	
455	445	446	446	Region46	
456	446	447	447	Region47	
457	447	448	448	Region48	
458	448	449	449	Region49	
459	449	450	450	Region0	
460	450	451	451	Region1	
461	451	452	452	Region2	
462	452	453	453	Region3	
463	453	454	454	Region4	
464	454	455	455	Region5	
465	455	456	456	Region6	
466	456	457	457	Region7	
467	457	458	458	Region8	
468	458	459	459	Region9	
469	459	460	460	Region10	
470	460	461	461	Region11	
471	461	462	462	Region12	
472	462	463	463	Region13	
473	463	464	464	Region14	
474	464	465	465	Region15	
475	465	466	466	Region16	
476	466	467	467	Region17	
477	467	468	468	Region18	
478	468	469	469	Region19	
479	469	470	470	Region20	
480	470	471	471	Region21	
481	471	472	472	Region22	
482	472	473	473	Region23	
483	473	474	474	Region24	
484	474	475	475	Region25	
485	475	476	476	Region26	
486	476	477	477	Region27	
487	477	478	478	Region28	
488	478	479	479	Region29	
489	479	480	480	Region30	
490	480	481	481	Region31	
491	481	482	482	Region32	
492	482	483	483	Region33	
493	483	484	484	Region34	
494	484	485	485	Region35	
495	485	486	486	Region36	
496	486	487	487	Region37	
497	487	488	488	Region38	
498	488	489	489	Region39	
499	489	490	490	Region40	
500	490	491	491	Region41	
501	491	492	492	Region42	
502	492	493	493	Region43	
503	493	494	494	Region44	
504	494	495	495	Region45	
505	495	496	496	Region46	
506	496	497	497	Region47	
507	497	498	498	Region48	
508	498	499	499	Region49	
509	499	500	500	Region0	
510	500	501	501	Region1	
511	501	502	502	Region2	
512	502	503	503	Region3	
513	503	504	504	Region4	
514	504	505	505	Region5	
515	505	506	506	Region6	
516	506	507	507	Region7	
517	507	508	508	Region8	
518	508	509	509	Region9	
519	509	510	510	Region10	
520	510	511	511	Region11	
521	511	512	512	Region12	
522	512	513	513	Region13	
523	513	514	514	Region14	
524	514	515	515	Region15	
525	515	516	516	Region16	
526	516	517	517	Region17	
527	517	518	518	Region18	
528	518	519	519	Region19	
529	519	520	520	Region20	
530	520	521	521	Region21	
531	521	522	522	Region22	
532	522	523	523	Region23	
533	523	524	524	Region24	
534	524	525	525	Region25	
535	525	526	526	Region26	
536	526	527	527	Region27	
537	527	528	528	Region28	
538	528	529	529	Region29	
539	529	530	530	Region30	
540	530	531	531	Region31	
541	531	532	532	Region32	
542	532	533	533	Region33	
543	533	534	534	Region34	
544	534	535	535	Region35	
545	535	536	536	Region36	
546	536	537	537	Region37	
547	537	538	538	Region38	
548	538	539	539	Region39	
549	539	540	540	Region40	
550	540	541	541	Region41	
551	541	542	542	Region42	
552	542	543	543	Region43	
553	543	544	544	Region44	
554	544	545	545	Region45	
555	545	546	546	Region46	
556	546	547	547	Region47	
557	547	548	548	Region48	
558	548	549	549	Region49	
559	549	550	550	Region0	
560	550	551	551	Region1	
561	551	552	552	Region2	
562	552	553	553	Region3	
563	553	554	554	Region4	
564	554	555	555	Region5	
565	555	556	556	Region6	
566	556	557	557	Region7	
567	557	558	558	Region8	
568	558	559	559	Region9	
569	559	560	560	Region10	
570	560	561	561	Region11	
571	561	562	562	Region12	
572	562	563	563	Region13	
573	563	564	564	Region14	
574	564	565	565	Region15	
575	565	566	566	Region16	
576	566	567	567	Region17	
577	567	568	568	Region18	
578	568	569	569	Region19	
579	569	570	570	Region20	
580	570	571	571	Region21	
581	571	572	572	Region22	
582	572	573	573	Region23	
583	573	574	574	Region24	
584	574	575	575	Region25	
585	575	576	576	Region26	
586	576	577	577	Region27	
587	577	578	578	Region28	
588	578	579	579	Region29	
589	579	580	580	Region30	
590	580	581	581	Region31	
591	581	582	582	Region32	
592	582	583	583	Region33	
593	583	584	584	Region34	
594	584	585	585	Region35	
595	585	586	586	Region36	
596	586	587	587	Region37	
597	587	588	588	Region38	
598	588	589	589	Region39	
599	589	590	590	Region40	
600	590	591	591	Region41	
601	591	592	592	Region42	
602	592	593	593	Region43	
603	593	594	594	Region44	
604	594	595	595	Region45	
605	595	596	596	Region46	
606	596	597	597	Region47	
607	597	598	598	Region48	
608	598	599	599	Region49	
609	599	600	600	Region0	
610	600	601	601	Region1	
611	601	602	602	Region2	
612	602	603	603	Region3	
613	603	604	604	Region4	
614	604	605	605	Region5	
615	605	606	606	Region6	
616	606	607	607	Region7	
617	607	608	608	Region8	
618	608	609	609	Region9	
619	609	610	610	Region10	
620	610	611	611	Region11	
621	611	612	612	Region12	
622	612	613	613	Region13	
623	613	614	614	Region14	
624	614	615	615	Region15	
625	615	616	616	Region16	
626	616	617	617	Region17	
627	617	618	618	Region18	
628	618	619	619	Region19	
629	619	620	620	Region20	
630	620	621	621	Region21	
631	621	622	622	Region22	
632	622	623	623	Region23	
633	623	624	624	Region24	
634	624	625	625	Region25	
635	625	626	626	Region26	
636	626	627	627	Region27	
637	627	628	628	Region28	
638	628	629	629	Region29	
639	629	630	630	Region30	
640	630	631	631	Region31	
641	631	632	632	Region32	
642	632	633	633	Region33	
643	633	634	634	Region34	
644	634	635	635	Region35	
645	635	636	636	Region36	
646	636	637	637	Region37	
647	637	638	638	Region38	
648	638	639	639	Region39	
649	639	640	640	Region40	
650	640	641	641	Region41	
651	641	642	642	Region42	
652	642	643	643	Region43	
653	643	644	644	Region44	
654	644	645	645	Region45	
655	645	646	646	Region46	
656	646	647	647	Region47	
657	647	648	648	Region48	
658	648	649	649	Region49	
659	649	650	650	Region0	
660	650	651	651	Region1	
661	651	652	652	Region2	
662	652	653	653	Region3	
663	653	654	654	Region4	
664	654	655	655	Region5	
665	655	656	656	Region6	
666	656	657	657	Region7	
667	657	658	658	Region8	
668	658	659	659	Region9	
669	659	660	660	Region10	
670	660	661	661	Region11	
671	661	662	662	Region12	
672	662	663	663	Region13	
673	663	664	664	Region14	
674	664	665	665	Region15	
675	665	666	666	Region16	
676	666	667	667	Region17	
677	667	668	668	Region18	
678	668	669	669	Region19	
679	669	670	670	Region20	
680	670	671	671	Region21	
681	671	672	672	Region22	
682	672	673	673	Region23	
683	673	674	674	Region24	
684	674	675	675	Region25	
685	675	676	676	Region26	
686	676	677	677	Region27	
687	677	678	678	Region28	
688	678	679	679	Region29	
689	679	680	680	Region30	
690	680	681	681	Region31	
691	681	682	682	Region32	
692	682	683	683	Region33	
693	683	684	684	Region34	
694	684	685	685	Region35	
695	685	686	686	Region36	
696	686	687	687	Region37	
697	687	688	688	Region38	
698	688	689	689	Region39	
699	689	690	690	Region40	
700	690	691	691	Region41	
701	691	692	692	Region42	
702	692	693	693	Region43	
703	693	694	694	Region44	
704	694	695	695	Region45	
705	695	696	696	Region46	
706	696	697	697	Region47	
707	697	698	698	Region48	
708	698	699	699	Region49	
709	699	700	700	Region0	
710	700	701	701	Region1	
711	701	702	702	Region2	
712	702	703	703	Region3	
713	703	704	704	Region4	
714	704	705	705	Region5	
715	705	706	706	Region6	
716	706	707	707	Region7	
717	707	708	708	Region8	
718	708	709	709	Region9	
719	709	710	710	Region10	
720	710	711	711	Region11	
721	711	712	712	Region12	
722	712	713	713	Region13	
723	713	714	714	Region14	
724	714	715	715	Region15	
725	715	716	716	Region16	
726	716	717	717	Region17	
727	717	718	718	Region18	
728	718	719	719	Region19	
729	719	720	720	Region20	
730	720	721	721	Region21	
731	721	722	722	Region22	
732	722	723	723	Region23	
733	723	724	724	Region24	
734	724	725	725	Region25	
735	725	726	726	Region26	
736	726	727	727	Region27	
737	727	728	728	Region28	
738	728	729	729	Region29	
739	729	730	730	Region30	
740	730	731	731	Region31	
741	731	732	732	Region32	
742	732	733	733	Region33	
743	733	734	734	Region34	
744	734	735	735	Region35	
745	735	736	736	Region36	
746	736	737	737	Region37	
747	737	738	738	Region38	
748	738	739	739	Region39	
749	739	740	740	Region40	
750	740	741	741	Region41	
751	741	742	742	Region42	
752	742	743	743	Region43	
753	743	744	744	Region44	
754	744	745	745	Region45	
755	745	746	746	Region46	
756	746	747	747	Region47	
757	747	748	748	Region48	
758	748	749	749	Region49	
759	749	750	750	Region0	
760	750	751	751	Region1	
761	751	752	752	Region2	
762	752	753	753	Region3	
763	753	754	754	Region4	
764	754	755	755	Region5	
765	755	756	756	Region6	
766	756	757	757	Region7	
767	757	758	758	Region8	
768	758	759	759	Region9	
769	759	760	760	Region10	
770	760	761	761	Region11	
771	761	762	762	Region12	
772	762	763	763	Region13	
773	763	764	764	Region14	
774	764	765	765	Region15	
775	765	766	766	Region16	
776	766	767	767	Region17	
777	767	768	768	Region18	
778	768	769	769	Region19	
779	769	770	770	Region20	
780	770	771	771	Region21	
781	771	772	772	Region22	
782	772	773	773	Region23	
783	773	774	774	Region24	
784	774	775	775	Region25	
785	775	776	776	Region26	
786	776	777	777	Region27	
787	777	778	778	Region28	
788	778	779	779	Region29	
789	779	780	780	Region30	
790	780	781	781	Region31	
791	781	782	782	Region32	
792	782	783	783	Region33	
793	783	784	784	Region34	
794	784	785	785	Region35	
795	785	786	786	Region36	
796	786	787	787	Region37	
797	787	788	788	Region38	
798	788	789	789	Region39	
799	789	790	790	Region40	
800	790	791	791	Region41	
801	791	792	792	Region42	
802	792	793	793	Region43	
803	793	794	794	Region44	
804	794	795	795	Region45	
805	795	796	796	Region46	
806	796	797	797	Region47	
807	797	798	798	Region48	
808	798	799	799	Region49	
809	799	800	800	Region0	
810	800	801	801	Region1	
811	801	802	802	Region2	
812	802	803	803	Region3	
813	803	804	804	Region4	
814	804	805	805	Region5	
815	805	806	806	Region6	
816	806	807	807	Region7	
817	807	808	808	Region8	
818	808	809	809	Region9	
819	809	810	810	Region10	
820	810	811	811	Region11	
821	811	812	812	Region12	
822	812	813	813	Region13	
823	813	814	814	Region14	
824	814	815	815	Region15	
825	815	816	816	Region16	
826	816	817	817	Region17	
827	817	818	818	Region18	
828	818	819	819	Region19	
829	819	820	820	Region20	
830	820	821	821	Region21	
831	821	822	822	Region22	
832	822	823	823	Region23	
833	823	824	824	Region24	
834	824	825	825	Region25	
835	825	826	826	Region26	
836	826	827	827	Region27	
837	827	828	828	Region28	
838	828	829	829	Region29	
839	829	830	830	Region30	
840	830	831	831	Region31	
841	831	832	832	Region32	
842	832	833	833	Region33	
843	833	834	834	Region34	
844	834	835	835	Region35	
845	835	836	836	Region36	
846	836	837	837	Region37	
847	837	838	838	Region38	
848	838	839	839	Region39	
849	839	840	840	Region40	
850	840	841	841	Region41	
851	841	842	842	Region42	
852	842	843	843	Region43	
853	843	844	844	Region44	
854	844	845	845	Region45	
855	845	846	846	Region46	
856	846	847	847	Region47	
857	847	848	848	Region48	
858	848	849	849	Region49	
859	849	850	850	Region0	
860	850	851	851	Region1	
861	851	852	852	Region2	
862	852	853	853	Region3	
863	853	854	854	Region4	
864	854	855	855	Region5	
865	855	856	856	Region6	
866	856	857	857	Region7	
867	857	858	858	Region8	
868	858	859	859	Region9	
869	859	860	860	Region10	
870	860	861	861	Region11	
871	861	862	862	Region12	
872	862	863	863	Region13	
873	863	864	864	Region14	
874	864	865	865	Region15	
875	865	866	866	Region16	
876	866	867	867	Region17	
877	867	868	868	Region18	
878	868	869	869	Region19	
879	869	870	870	Region20	
880	870	871	871	Region21	
881	871	872	872	Region22	
882	872	873	873	Region23	
883	873	874	874	Region24	
884	874	875	875	Region25	
885	875	876	876	Region26	
886	876	877	877	Region27	
887	877	878	878	Region28	
888	878	879	879	Region29	
889	879	880	880	Region30	
890	880	881	881	Region31	
891	881	882	882	Region32	
892	882	883	883	Region33	
893	883	884	884	Region34	
894	884	885	885	Region35	
895	885	886	886	Region36	
896	886	887	887	Region37	
897	887	888	888	Region38	
898	888	889	889	Region39	
899	889	890	890	Region40	
900	890	891	891	Region41	
901	891	892	892	Region42	
902	892	893	893	Region43	
903	893	894	894	Region44	
904	894	895	895	Region45	
905	895	896	896	Region46	
906	896	897	897	Region47	
907	897	898	898	Region48	
908	898	899	899	Region49	
909	899	900	900	Region0	
10	900	901	901	Region1	
11	901	902	902	Region2	
12	902	903	903	Region3	
13	903	904	904	Region4	
14	904	905	905	Region5	
15	905	906	906	Region6	
16	906	907	907	Region7	
17	907	908	908	Region8	
18	908	909	909	Region9	
19	909	910	910	Region10	
20	910	911	911	Region11	
21	911	912	912	Region12	
22	912	913	913	Region13	
23	913	914	914	Region14	
24	914	915	915	Region15	
25	915	916	916	Region16	
26	916	917	917	Region17	
27	917	918	918	Region18	
28	918	919	919	Region19	
29	919	920	920	Region20	
30	920	921	921	Region21	
31	921	922	922	Region22	
32	922	923	923	Region23	
33	923	924	924	Region24	
34	924	925	925	Region25	
35	925	926	926	Region26	
36	926	927	927	Region27	
37	927	928	928	Region28	
38	928	929	929	Region29	
39	929	930	930	Region30	
40	930	931	931	Region31	
41	931	932	932	Region32	
42	932	933	933	Region33	
43	933	934	934	Region34	
44	934	935	935	Region35	
45	935	936	936	Region36	
46	936	937	937	Region37	
47	937	938	938	Region38	
48	938	939	939	Region39	
49	939	940	940	Region40	
50	940	941	941	Region41	
51	941	942	942	Region42	
52	942	943	943	Region43	
53	943	944	944	Region44	
54	944	945	945	Region45	
55	945	946	946	Region46	
56	946	947	947	Region47	
57	947	948	948	Region48	
58	948	949	949	Region49	
59	949	950	950	Region0	
60	950	951	951	Region1	
61	951	952	952	Region2	
62	952	953	953	Region3	
63	953	954	954	Region4	
64	954	955	955	Region5	
65	955	956	956	Region6	
66	956	957	957	Region7	
67	957	958	958	Region8	
68	958	959	959	Region9	
69	959	960	960	Region10	
70	960	961	961	Region11	
71	961	962	962	Region12	
72	962	963	963	Region13	
73	963	964	964	Region14	
74	964	965	965	Region15	
75	965	966	966	Region16	
76	966	967	967	Region17	
77	967	968	968	Region18	
78	968	969	969	Region19	
79	969	970	970	Region20	
80	970	971	971	Region21	
81	971	972	972	Region22	
82	972	973	973	Region23	
83	973	974	974	Region24	
84	974	975	975	Region25	
85	975	976	976	Region26	
86	976	977	977	Region27	
87	977	978	978	Region28	
88	978	979	979	Region29	
89	979	980	980	Region30	
90	980	981	981	Region31	
91	981	982	982	Region32	
92	982	983	983	Region33	
93	983	984	984	Region34	
94	984	985	985	Region35	
95	985	986	986	Region36	
96	986	987	987	Region37	
97	987	988	988	Region38	
98	988	989	989	Region39	
99	989	990	990	Region40	
100	990	991	991	Region41	
101	991	992	992	Region42	
102	992	993	993	Region43	
103	993	994	994	Region44	
104	994	995	995	Region45	
105	995	996	996	Region46	
106	996	997	997	Region47	
107	997	998	998	Region48	
108	998	999	999	Region49	
109	999	1000	1000	Region0	
110	1000	1001	1001	Region1	
111	1001	1002	1002	Region2	
112	1002	1003	1003	Region3	
113	1003	1004	1004	Region4	
114	1004	1005	1005	Region5	
115	1005	1006	1006	Region6	
116	1006	1007	1007	Region7	
117	1007	1008	1008	Region8	
118	1008	1009	1009	Region9	
119	1009	1010	1010	Region10	
120	1010	1011	1011	Region11	
121	1011	1012	1012	Region12	
122	1012	1013	1013	Region13	
123	1013	1014	1014	Region14	
124	1014	1015	1015	Region15	
125	1015	1016	1016	Region16	
126	1016	1017	1017	Region17	
127	1017	1018	1018	Region18	
128	1018	1019	1019	Region19	
129	1019	1020	1020	Region20	
130	1020	1021	1021	Region21	
131	1021	1022	1022	Region22	
132	1022	1023	1023	Region23	
133	1023	1024	1024	Region24	
134	1024	1025	1025	Region25	
135	1025	1026	1026	Region26	
